Feature,Coefficient,Odds_Ratio,Abs_Coefficient
TERM2,-2.326066205438303,0.09767924237159667,2.326066205438303
TERM3,-2.1198110111191304,0.12005431529830578,2.1198110111191304
TERM1,-1.9196372789091514,0.14666014921303525,1.9196372789091514
avg_gpa_x_COUNT_F,1.4943026168261129,4.456227770701345,1.4943026168261129
avg_gpa_squared,1.4173266681971077,4.126075314826624,1.4173266681971077
TERM1_x_TERM2,1.1816360232633396,3.2597027924529245,1.1816360232633396
gpa_change_from_start,-1.1761462748430216,0.3084651910687911,1.1761462748430216
avg_gpa_up_to_now,0.9478982594282724,2.580280875364284,0.9478982594282724
avg_gpa_x_trend,0.9165303318384416,2.5005990716766267,0.9165303318384416
COUNT_F,-0.8743834201826322,0.41711912764211456,0.8743834201826322
max_gpa_up_to_now,-0.6795169257033048,0.5068617851346574,0.6795169257033048
improvement_from_hs,0.6016654193927975,1.8251559207142176,0.6016654193927975
gpa_std_up_to_now,0.5035563958146367,1.6545952149710468,0.5035563958146367
OLD_GPA_M6,0.45648641512222027,1.5785179730711334,0.45648641512222027
min_gpa_up_to_now,0.3037509090741118,1.35493151290688,0.3037509090741118
low_gpa,-0.234475624175679,0.79098551458033,0.234475624175679
has_F,0.23295848608131958,1.2623290740129673,0.23295848608131958
COUNT_WIU,0.12060354617559059,1.1281775533889606,0.12060354617559059
decline_last_term,0.1074612510333143,1.1134477149622009,0.1074612510333143
COUNT_F_squared,-0.06301746037818762,0.9389270795241104,0.06301746037818762
multiple_F,0.05854617017845998,1.06029393852487,0.05854617017845998
consecutive_decline_2,-0.04375809886272953,0.9571854737245682,0.04375809886272953
declining_trend,0.0343049961334929,1.0349001991577302,0.0343049961334929
early_warning,0.02564548608606309,1.0259771608144685,0.02564548608606309
GENDER_ENCODED,0.016508096896167775,1.0166451084226125,0.016508096896167775
FAC_ENCODED,0.01638944361236331,1.0165244872982222,0.01638944361236331
very_low_gpa,-0.01585755194071061,0.9842675170672798,0.01585755194071061
current_term,0.0,1.0,0.0
